recorded,ds1,mf1,rf1,ds2,mf2,rf2,ds3,mf3,rf3,num_neg,num_pos
2021-02-23 01:29,3.303703704,0.816203704,0.727314815,4.959722222,1.109259259,1.024537037,0.835648148,0.20462963,0.164351852,10,8
2021-02-23 01:59,3.924166667,0.978611111,0.8475,5.131944444,1.112685185,1.061111111,1.158055555,0.282685185,0.253796296,11,11
2021-02-23 02:29,1.82037037,0.462037037,0.410185185,4.300925926,1.044444445,0.943518518,0.715740741,0.192592592,0.15,14,18
2021-02-23 02:59,2.396296296,0.588888889,0.518518519,2.025925926,0.481481481,0.422222222,0.485185185,0.111111111,0.096296296,11,15
2021-02-23 03:29,2.637962963,0.674074074,0.598611111,3.820833333,0.931481481,0.852314815,0.975,0.20462963,0.167592593,7,8
2021-02-23 03:59,3.07962963,0.676388889,0.591944444,4.901018519,1.102222222,1.029907408,1.470462963,0.395,0.347592593,7,22
2021-02-23 04:29,6.754629629,1.558796296,1.411111111,7.414351853,1.688888889,1.539351852,1.753703704,0.437962963,0.370833333,11,10
2021-02-23 04:59,13.21747685,3.768132716,3.181095679,13.05702161,3.516936729,3.168981482,6.935185186,1.96566358,1.709915124,11,16
2021-02-23 05:29,20.66878858,6.773533951,6.190779321,20.41338735,6.626157407,6.167824074,11.3755787,3.507908951,3.092399691,19,15
2021-02-23 05:59,32.42438272,12.55709877,11.59953704,29.16898148,11.27160494,10.57330247,19.50308642,7.379629629,6.691358025,14,22
2021-02-23 06:29,49.64737654,18.95679012,18.00925926,44.23225308,16.78858025,16.15972222,31.61496914,11.76157407,11.17669753,14,11
2021-02-23 06:59,66.31261023,28.255291,27.99250441,63.42901235,27.04805996,26.88095238,52.90961199,22.81613757,22.17107584,8,17
2021-02-23 07:29,78.26234568,36.78703704,37.19135803,74.79938272,35.02469136,35.92901235,65.06790124,30.76851852,31.0154321,9,14
2021-02-23 07:59,85.37037037,36.87962963,42.37962963,80.43518519,34.37037037,40.43518519,73.39814815,30.83333333,36.27777778,14,9
2021-02-23 08:29,79.79232804,32.86904762,38.60846561,76.46957672,31.01058201,37.61111112,69.16666667,26.41931217,33.32671958,17,27
2021-02-23 08:59,69.27777778,31.61111111,33.59259259,59.89814815,28.8425926,29.64814815,47.43518519,22.40740741,22.88888889,22,34
2021-02-23 09:29,69.12962963,28.60802469,29.66975309,58.23765432,25.23765432,25.60802469,46.84567901,20.31481482,20.0154321,26,31
2021-02-23 09:59,69.62037037,31.44444445,32.45370371,60.85185185,29.06481482,28.95370371,42.56481482,19.72222222,19.37962963,17,18
2021-02-23 10:29,64.05864197,26.21296297,26.13888889,57.59567901,24.16358025,24.05555556,37.47530864,15.21604938,14.89197531,13,35
2021-02-23 10:59,64.64120371,25.42476852,25.47839506,59.18132716,23.99344136,24.07561728,39.96103395,15.67669753,15.4529321,15,25
2021-02-23 11:29,62.11728395,25.92283951,25.84876543,57.7654321,24.80555556,24.67901234,41.09876543,16.92592592,16.61111111,14,19
2021-02-23 11:59,70.92013889,31.92939815,32.21180556,63.1087963,29.24652778,29.31018519,43.67592593,19.56944445,19.26041667,14,13
2021-02-23 12:29,69.12885803,28.71334877,29.20138889,62.17361111,26.71875,26.83024691,43.16975309,17.81597222,17.54745371,16,15
2021-02-23 12:59,67.45100309,29.21334877,29.7191358,61.4841821,27.91589506,28.03587963,40.84645062,17.88773148,17.79282408,7,19
2021-02-23 13:29,66.33487654,27.39891975,27.87268518,59.26311729,25.35108025,25.62268519,40.34953704,16.79398148,16.89274692,7,15
2021-02-23 13:59,70.0779321,30.58564815,30.70100309,64.55825618,28.65856481,28.97145062,43.74768519,18.88464506,18.77044754,4,8
2021-02-23 14:29,72.18209876,29.62345679,30.5,68.70987655,29.24382716,29.76851852,54.06790123,22.72839507,22.61728395,3,6
2021-02-23 14:59,78.38271605,35.28317902,36.94830247,69.9220679,33.33873457,33.92901235,57.88194445,27.15895062,27.30478395,3,2
2021-02-23 15:29,72.41666667,32.87152778,33.06134259,67.125,31.16049383,31.32638889,51.57098766,23.64004629,23.34220679,0,2
2021-02-23 15:59,79,34.83333333,36.57407408,71.33333334,33.05555556,33.77777778,61.89814815,28.61111111,28.42592593,2,0
